chain_id,bidder,bid_count,dogs_bid_on,first_bid_block,last_bid_block,amount_note
137,0xd0ac50d9f7516be16e2449539394a3967bea03c7,47,25,25935944,27841362,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x2e62ee3af78d005a0dffb116295b13ef45b6f2c0,34,15,25938672,26349407,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xb0331b22161ca290a15f825a29c008dcb5e1ff68,26,15,26041001,28162908,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xf9ce34dfcd3cc92804772f3022af27bcd5e43ff2,24,16,26042210,26619584,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xbafd4e08103fae3aba7c64c6eb5533304b930d34,22,19,26255795,27328338,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x7b9eff2abd33bc2af23c7d74ad92bbd3e48e7478,22,13,26058302,26144246,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xbb909b914f1e39b0e5c30b4fe6e5d984331519b9,21,12,26048158,26296359,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xf8a025b42b07db05638fe596cce339707ec3cc71,20,17,26126860,28195935,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xc9d7858797acf8f67515828401423a6b02a646b5,20,12,26137888,26581111,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xbd819b297e4f42d595b17f3e565896ab31867488,19,17,26106808,28261001,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x17fe4ed21e35b5ad800179b0c20447ca3f5280db,16,13,26057171,26680391,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661,15,15,25935518,27964441,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xb5d8a3281f21617f27e624b56a6b97c28c2dae3c,15,7,26307160,26895886,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x1c81f6a5dbd715be1a66a38f7ed3bbcd4098edd4,15,8,26103659,26328325,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xeecce11af9d72ae9ff15d7c106f13349d336aeaf,14,8,26044984,28833888,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x2a0660e203c9fd5ba5a9e77e9b7517741f54e2aa,11,6,25938120,29345834,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x957ffbed31ca76544b677700811a52141dd77e23,11,8,27051185,27697245,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xb34e7e91d2e6e9d130ac3b51812f189cb4b12ae2,11,8,26203120,26582276,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x4444ad20879051b696a1c14ccf6e3b0459466666,9,8,26048284,26817744,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xe86cd820ce3702771a50be8d43a7e98e3182d2a7,9,6,26079680,26118876,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x3854db52fc3913be8dc630f05ad5c79d167d7036,8,3,26215812,26269876,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xc6ffc3a5af16fb93c86c75280413ef7c48d79e36,8,7,25939273,26112835,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x74229f172b1562c211868d4223ddba396be88d51,7,6,27017309,27590533,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xd964ab7e202bab8fbaa28d5ca2b2269a5497cf68,7,7,26085844,27285564,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xb3d1e41f84acd0e77f83473aa62fc8560c2a3c0c,7,7,26069378,26740011,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xf813da092804b243f820bdd8c7fb299c01969838,7,6,26124957,26242688,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x01974549c9b9a30d47c548a16b120b1caa7b586c,7,3,26047939,26066031,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x1c2c4c9053c4913bebb198e43b8b4467f0f60f2b,6,5,27637087,29337870,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x869ec00fa1dc112917c781942cc01c68521c415e,6,5,25939979,27607015,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x06c9018ad287bd949e231bb5dbc196fe22d97675,6,5,26061221,26145092,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xc4cd57b06c9f735abd6240a2683026e308f716c7,5,4,27130899,28927983,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xdf3f91843624a977e11324b5c030cf0435c974df,5,5,27877441,28735041,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x3cdc7e2da5181c852fb4323166318dc62395bcf1,5,4,26503248,26736858,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x18af917458be73b35cf5d4803fb06c9ecc84abe1,4,2,26229427,26308810,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xc02519071c68fa12b8aed81cb8c6fd3986cebe4d,4,3,26157462,26182593,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xaec80b4fbe227198720b1d1b82a12968baa0b144,4,4,26107149,26173433,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xeccc484dd4093f62fc24c4725800013fbc2c1d15,4,1,26045308,26047231,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x05f4bc6d7a052e45cee250510cb39329cfacbc19,3,3,26431050,29402130,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x689e50e2bd5dd19f27be266e24b52c5041441ad6,3,2,27475298,27507410,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xb8832d516d0f3094b4bdc5400e36a2a6984233ea,3,3,26157619,26386470,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x7bda037dfdf9cd9ad261d27f489924aebbce71ac,3,3,26046467,26050896,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x84da37133a088fbf4e21d80aec2cc260b52ea116,3,1,26044436,26044785,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xf7c13ad0a87a9329d7db754dae372d21309c79e8,3,1,25936409,25937159,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x96584f1c9f9a69a65ab5264a8384c28c94a3539a,2,2,26130999,32268109,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xb0504ffd91835de1d3c027cfb70b2022e79c3350,2,2,28355018,28396865,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x8c9eff5ab18800c51cb79857af0b74c3d37c0d8a,2,2,27995619,28040074,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xc7e5fe913b97687bad305230262e2c6eeb08407d,2,2,27666829,27713849,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x28ff8e457fef9870b9d1529fe68fbb95c3181f64,2,1,27296234,27324796,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xb47a9b6f062c33ed78630478dff9056687f840f2,2,1,27012777,27013914,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xe8d848debb3a3e12aa815b15900c8e020b863f31,2,2,26632923,26865902,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x2f980b046509d8ff974ff34333a32c305429b01e,2,2,26742308,26785641,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x1f400e7ef054153c13b68dbf86c6a110d019b360,2,2,26385625,26541658,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x500262e38363edb3bcb07b0484306d2a885c6006,2,2,26215581,26229388,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x6eaa11eec98c663ba096593cc779217a7e20665a,2,1,26228875,26229121,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xc6919f73e363f686de53efa7b18404615ffae7c0,2,2,26069380,26091691,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xe0d508b85f5c2e591c6e3fdc1dd6dbf4e0d13d89,2,1,25936774,25936986,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x3e32c70b82f79dd243dcd32ae9231c2c19f5ae23,1,1,32751151,32751151,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0xf7287d45e290d11858d113fd0250b1c2c6aab044,1,1,31844600,31844600,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x014c8f89fef419eec11dea3bdc6e3932e1b63364,1,1,29311072,29311072,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
137,0x0ad5d1f88a6c27f1ea4e3f45be0f4751bafc26c5,1,1,28877518,28877518,raw amount totals intentionally omitted until all WETH/Idle routes are reconciled
