bidder,bid_count,dogs_bid_on,first_bid_block,last_bid_block,extension_bid_count,amount_note,confidence
0x5d13b662a387a0e40b9320b8759e38c1204ec5ea,318,187,24704016,26123694,34,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x76d0e7a13248945ee9f808b4a472262b28778942,222,126,26062690,26621581,27,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x2a78be7b3b40671fa356798e7908654234bc0444,82,33,26133131,26316522,21,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f,69,47,24986580,26516178,9,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xefbe74a2d564b5da62407d452038db32c9fd6b27,64,34,24755777,26207331,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x6506e31b88422251354d9deb63a904d90acd8996,63,44,24874615,26153564,11,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,55,27,26459259,26621591,19,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xf561592d05174512905cece6f00efc52423adc3c,53,36,25004097,26247248,6,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xe20d0d6b62d6bd2a536d21654f682f28f78f8f66,47,25,25600367,26412508,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x409538216575caefe49af5af9b12ef4b4496041b,42,24,24767099,26617551,17,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xc7aab24ede583b0dc9041343ae51466bb86a1ab7,37,26,26475131,26619097,10,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x2cd8cc289e927be809cc396c2075e32fabffd885,37,29,25672314,25970097,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xefe73c8d2f362ba8b20b9ea71b164ea5cdefd6a8,35,23,26201407,26445187,7,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xd2324d0179198edbfcd25282b44bf6e5e317242a,32,23,26009619,26290058,3,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xc421401af43d217d8bf16f18ffd076f3c84219d9,27,19,26268863,26610091,8,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,26,24,24856073,25416235,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xbdd8f7ceae7fbfb25bd5615ad3c2608404f6bb72,25,8,26485285,26513467,16,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x19d8da2674e8a025154153297ea3ab918debf96d,23,17,24831765,25429371,4,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xbb672bbe37c259e7d22b250d6f1310161eefaece,22,14,26517996,26617177,7,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x05f761aacd63e4e96bf98f0fe5614de5ba90856c,22,16,24798991,25449147,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661,21,21,24754602,26089893,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x4bf88042de0220647acb314af3c5f310aec3bcc0,20,13,25429369,25790679,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x2e62ee3af78d005a0dffb116295b13ef45b6f2c0,17,8,25198402,25514851,5,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x4932ae69f9da1ff74944680baad245cd3747d861,16,9,24697532,26179736,6,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xe5bd8b07f960e77fea96f4b73271efb53f5dc00d,16,8,25156218,25223566,5,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xbc57373c9b99524f6300664e2602a0427a9ec0db,15,9,24692799,24921482,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x2df06405772f9fe85e1771ff11baaa5d3933f457,14,10,26105552,26161684,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x903dd30042ae53844ae83bdf2bcf839c4e80eef8,11,8,26523590,26548671,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x0c65be17e86bcb6019148be0a4e8f0a4510a70cb,11,8,26062598,26497270,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x4f44ebe3404bc6e91fe5c7fb4569807bd7266408,10,8,25939341,25998793,2,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x6de24695bf9946e4a866a81d21ef5b74af4db06b,10,7,25287568,25375884,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x19c64affde518de2884c1944700e12d2bb7016a4,9,4,26462481,26544795,6,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x8847925f96be82ad7e48b26f641e7d47d073fe0a,9,5,26006735,26259252,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x8f4359d1c2166452b5e7a02742d6fe9ca5448fde,9,8,25982499,26088336,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xf8a025b42b07db05638fe596cce339707ec3cc71,9,9,24754943,26062724,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xcfc162ca64a2b993dcc7001dca3f23f718e6dcc2,8,7,26562397,26615567,2,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x4bd900f29b1aa6b4742ca43086eb7d8d9ce6d47d,7,1,24841614,24841880,7,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x11c1503ba0a3a42773dc1a9a76edfe54b30bcc38,7,3,24755113,24792787,5,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xb5ffc7dc088a44b3dc5bac396806bfbbc71634ce,6,4,26464801,26493313,6,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xd5d06cb9ddeeb297a84f33a6b396637ffdbdbccd,6,5,26478393,26488840,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xd2db6ab0dc4743a77719b38d9f7196aa32fa519f,6,4,25515127,25540166,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xdafcfb204d7c1a48550cc61e6d3a4a3178849899,6,3,25483213,25524507,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x26d85c9ed5c6cfe6bd13acd25b7aada9193e8caa,5,5,26242488,26261244,2,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xa3072eb2348edb3324cb9c85aab1a47bb42a8486,5,3,25282734,25379190,3,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x884ff907d5fb8bae239b64aa8ad18ba3f8196038,5,4,24806964,24953934,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x58e6d11a458db5bb49903f63d841bed8c5e90fa9,5,4,24789976,24840934,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xeeb813d8c68cdc2dfcecc3c7eca71f17c830902d,4,2,26600153,26601468,2,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x9d3f687a2b1b215b92886bb93e89633bf9579fa7,4,2,25022775,25135129,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x84d8d4b63c7d40ee5f68e566844e547782c27f39,4,2,24853986,24866609,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x412b7153504217b405af821bdcdc5f21c71e3cbc,3,3,26605218,26609131,2,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x09a80a434a3ea1e247dabc7ec979b7392f34b510,3,1,26288341,26290063,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x49dbccda45cb704075e72e15f34c642fcad1c1a8,3,3,26150530,26185397,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x24856ffb89fd1edc15ea1439148e124cde9dd302,3,1,26105702,26106195,2,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xe8cb7d33f18c3d2b265d9c47e02d8ab67f1a116b,3,1,25281500,25284593,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x2adb7424d5935797bbdad694126950e427b2c541,3,2,24793005,24804925,3,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xa62449301059cf00edb96f4c03acc6aa3b326c30,2,2,26615457,26616148,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x43f8c3e0c0ab23f0a8660f3ea3ce1a7016f96a33,2,2,26601463,26605255,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x629d1cfeaaadfcd8c67e40602508968f9c3e2a39,2,2,26523795,26524211,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xf13f2c2eba28f2aacee7528f741f9e0d1e8d3d9a,2,1,26499375,26503346,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x7c527d956f47920fec38dfc5834fe31b5a72db12,2,1,25557004,25558063,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x042951afa6ff53f93672f7b30eaa797b70a61837,2,2,24714930,24972788,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xd84d25d80d1dcd6d8589830dc588ba587ca99171,2,2,24754802,24755825,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xe84dea841a7559afd5366859916ad852fbcf9f82,1,1,26534393,26534393,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xf5ede753787fa89a2960330ba846cc25875c09d4,1,1,26497286,26497286,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xe04885c3f1419c6e8495c33bdcf5f8387cd88846,1,1,26482456,26482456,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xeac5781e7ca68f1c7b6ebe854901e427049d0ab5,1,1,26135520,26135520,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xfb9cb7bcafa053365813212c3228f37b9fe7215e,1,1,25947969,25947969,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d,1,1,25730295,25730295,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xf9ce34dfcd3cc92804772f3022af27bcd5e43ff2,1,1,25718082,25718082,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xb13a55d8512aec4bf7b15067d733c4c3c68f2439,1,1,25704611,25704611,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x93eac3762e0fee440c4348d2894803b5aaa7e2dc,1,1,25678316,25678316,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xf58fe388d53e9542f0bddff2d1578b13675228fd,1,1,25668354,25668354,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xb68a6a83cfca2e7fde2aa5749b85e753f55d58cd,1,1,25643222,25643222,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x764e427020ad72624075c61260192c6e486d15a5,1,1,25479804,25479804,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x3ebcecea588e5a6dfad865fc43732d14e1ac850c,1,1,25470091,25470091,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xe9aa0c9618bfb58f63c324a11f6dc43220fc8fea,1,1,25429370,25429370,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xc31ad87abdf3c414f48e922a38c295f5ff41ffa3,1,1,25294818,25294818,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x120afebff136ecbedc4a9eb6976a236591ce0a90,1,1,25284573,25284573,1,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x55a5705453ee82c742274154136fce8149597058,1,1,25248041,25248041,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x9a064a0ef88393662de416a59fa4cbe9f4900fc8,1,1,24996777,24996777,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xdd3b3a67c66a5276aacc499ec2abd5241721e008,1,1,24842349,24842349,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x70796e8deea0cb8a962917a22c3883f0f595664b,1,1,24789797,24789797,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0x6ea3b97e28f6d65034fb814cda9770a92bea4bf2,1,1,24755522,24755522,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
0xf1e7dbedd9e06447e2f99b1310c09287b734addc,1,1,24693612,24693612,0,raw total omitted to avoid SQLite integer overflow; use per-bid exact raw rows for accounting,verified_onchain
