activity_date_utc,bid_count,dogs_with_bids,unique_bidders,first_block,last_block,confidence
2024-11-25,3,1,2,24692799,24695362,verified_onchain
2024-11-26,4,2,3,24697532,24704108,verified_onchain
2024-11-27,12,2,4,24713878,24716521,verified_onchain
2024-11-28,4,2,2,24728194,24732722,verified_onchain
2024-11-29,2,2,1,24735294,24742862,verified_onchain
2024-11-30,22,2,8,24754602,24758139,verified_onchain
2024-12-01,2,2,2,24767099,24767616,verified_onchain
2024-12-02,1,1,1,24779196,24779196,verified_onchain
2024-12-03,9,2,5,24784488,24793204,verified_onchain
2024-12-04,9,2,6,24797864,24806964,verified_onchain
2024-12-05,3,1,2,24811562,24815282,verified_onchain
2024-12-06,3,2,3,24824276,24831765,verified_onchain
2024-12-07,22,2,8,24840599,24844634,verified_onchain
2024-12-08,6,2,3,24853986,24856073,verified_onchain
2024-12-09,5,2,4,24859636,24866850,verified_onchain
2024-12-10,2,2,2,24869617,24874615,verified_onchain
2024-12-11,2,2,2,24879302,24885327,verified_onchain
2024-12-12,2,2,2,24892294,24898197,verified_onchain
2024-12-13,4,2,3,24901481,24911455,verified_onchain
2024-12-14,1,1,1,24921482,24921482,verified_onchain
2024-12-15,5,2,4,24924495,24932990,verified_onchain
2024-12-16,2,2,2,24938938,24942985,verified_onchain
2024-12-17,8,2,5,24948197,24954445,verified_onchain
2024-12-18,1,1,1,24957689,24957689,verified_onchain
2024-12-19,3,1,3,24972788,24973488,verified_onchain
2024-12-20,4,1,4,24982764,24986925,verified_onchain
2024-12-21,3,2,3,24988585,24995845,verified_onchain
2024-12-22,6,2,5,24996777,25004097,verified_onchain
2024-12-23,7,2,4,25007710,25013347,verified_onchain
2024-12-24,6,2,5,25019483,25025326,verified_onchain
2024-12-25,3,1,3,25027310,25028938,verified_onchain
2024-12-26,2,2,1,25035248,25041765,verified_onchain
2024-12-27,1,1,1,25048950,25048950,verified_onchain
2024-12-28,4,1,3,25056402,25056696,verified_onchain
2024-12-29,3,1,3,25059914,25064846,verified_onchain
2024-12-30,1,1,1,25073026,25073026,verified_onchain
2024-12-31,13,1,2,25084739,25106386,verified_onchain
2025-01-01,7,1,2,25110190,25116519,verified_onchain
2025-01-02,4,1,2,25117810,25127564,verified_onchain
2025-01-03,7,1,4,25134536,25136616,verified_onchain
2025-01-04,3,1,3,25140046,25150356,verified_onchain
2025-01-05,12,2,5,25155931,25166766,verified_onchain
2025-01-06,5,1,4,25170317,25175757,verified_onchain
2025-01-07,3,1,3,25176918,25186717,verified_onchain
2025-01-08,8,2,5,25187419,25195650,verified_onchain
2025-01-09,17,2,7,25196460,25206254,verified_onchain
2025-01-10,10,2,4,25206701,25214911,verified_onchain
2025-01-11,5,2,4,25215452,25222768,verified_onchain
2025-01-12,5,2,3,25222993,25229291,verified_onchain
2025-01-13,6,2,2,25231447,25231602,verified_onchain
2025-01-14,2,2,2,25237302,25238435,verified_onchain
2025-01-15,3,1,2,25240958,25248760,verified_onchain
2025-01-16,2,2,2,25252691,25254217,verified_onchain
2025-01-17,1,1,1,25261553,25261553,verified_onchain
2025-01-18,2,2,2,25268289,25268362,verified_onchain
2025-01-19,2,1,2,25276983,25281500,verified_onchain
2025-01-20,21,2,10,25282734,25289217,verified_onchain
2025-01-21,6,2,4,25291111,25295592,verified_onchain
2025-01-22,6,2,6,25298857,25300832,verified_onchain
2025-01-23,3,2,2,25305857,25306751,verified_onchain
2025-01-24,4,2,4,25312975,25314470,verified_onchain
2025-01-25,3,2,3,25320730,25323861,verified_onchain
2025-01-26,3,2,2,25348443,25348687,verified_onchain
2025-01-27,5,2,2,25357264,25357325,verified_onchain
2025-01-28,4,2,3,25361228,25368261,verified_onchain
2025-01-29,5,1,5,25369295,25371522,verified_onchain
2025-01-30,8,2,5,25375884,25380139,verified_onchain
2025-01-31,5,2,4,25383961,25394820,verified_onchain
2025-02-01,6,1,3,25396197,25402200,verified_onchain
2025-02-02,8,2,5,25407351,25410798,verified_onchain
2025-02-03,6,1,4,25415545,25417298,verified_onchain
2025-02-04,3,2,2,25418042,25421092,verified_onchain
2025-02-05,7,1,2,25422959,25424089,verified_onchain
2025-02-06,1,1,1,25424186,25424186,verified_onchain
2025-02-07,9,1,4,25426772,25429253,verified_onchain
2025-02-08,9,1,6,25429286,25430712,verified_onchain
2025-02-10,4,1,4,25435441,25440463,verified_onchain
2025-02-11,2,1,2,25445800,25446929,verified_onchain
2025-02-12,4,1,3,25448347,25449564,verified_onchain
2025-02-13,2,2,2,25450605,25450680,verified_onchain
2025-02-14,1,1,1,25453071,25453071,verified_onchain
2025-02-15,1,1,1,25458942,25458942,verified_onchain
