mission,dog_id,chain,chain_id,event_type,event_time_utc,event_tx_hash,native_amount_raw,native_amount,native_symbol,price_asset_key,price_usd,estimated_usd_value,estimated_usd_display,price_date_utc,price_source,price_source_detail,price_confidence,price_status,notes
3,729,Base,8453,current_bid,2026-05-30T18:40:23Z,,10000000000000000,0.01,ETH,ETH,2007.7116820979008,20.07711682,$20.08,2026-05-29,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD. Used nearest prior price 1 day(s) before event.
3,728,Base,8453,settlement,2026-05-30T18:40:09Z,,12100000000000000,0.0121,ETH,ETH,2007.7116820979008,24.29331135,$24.29,2026-05-29,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD. Used nearest prior price 1 day(s) before event.
3,727,Base,8453,settlement,2026-05-29T18:38:33Z,0xf9541014ebee8c7c90b9ba3bc511c9e80f167d3b0a90abc747b58ac2a07f5ee7,11000000000000000,0.011,ETH,ETH,2007.7116820979008,22.08482850,$22.08,2026-05-29,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD.
3,726,Base,8453,settlement,2026-05-28T18:36:55Z,0xf9541014ebee8c7c90b9ba3bc511c9e80f167d3b0a90abc747b58ac2a07f5ee7,11000000000000000,0.011,ETH,ETH,2022.5062490754037,22.24756874,$22.25,2026-05-27,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD. Used nearest prior price 1 day(s) before event.
3,725,Base,8453,settlement,2026-05-27T16:10:25Z,0x7968d69d6ca67f11b3d8f57235e5b3fad4a2bd309a20026d6019e814d1768d5f,11000000000000000,0.011,ETH,ETH,2022.5062490754037,22.24756874,$22.25,2026-05-27,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD.
3,724,Base,8453,settlement,2026-05-26T16:03:59Z,0xfedcbff43d8e3938621ee44bcf968e39d8ee22389e309e268bdb9c9a26bfe293,10000000000000000,0.01,ETH,ETH,2070.833946428856,20.70833946,$20.71,2026-05-26,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD.
3,723,Base,8453,settlement,2026-05-24T15:30:29Z,0xa371adf04d31bc48732abe5be9f184ac72d723838956d3bf72d7724e1856d8ee,15410000000000000,0.01541,ETH,ETH,2098.138643929662,32.33231650,$32.33,2026-05-24,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD.
3,722,Base,8453,settlement,2026-05-23T15:10:41Z,0xb1fa0f5c9dc01718f6f75e9180396e64071dc39d305b2d70e741c1f2d4ed7b2e,14650000000000000,0.01465,ETH,ETH,2064.3795134814013,30.24315987,$30.24,2026-05-23,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD.
3,721,Base,8453,settlement,2026-05-22T14:58:51Z,0x6dec5c839b0277a38605e72be08b741a15e6755bf7d34adf9eb44d98b53a15e6,15800000000000000,0.0158,ETH,ETH,2131.694272748801,33.68076951,$33.68,2026-05-21,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD. Used nearest prior price 1 day(s) before event.
3,720,Base,8453,settlement,2026-05-21T14:58:29Z,0x52383a8afa8fe46f0d5f52d73ad97a4af00f1f069ea7779227c346cb0cca4d2f,16500000000000000,0.0165,ETH,ETH,2131.694272748801,35.17295550,$35.17,2026-05-21,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD.
3,719,Base,8453,settlement,2026-05-20T14:55:15Z,0x178445d9bdc61a9f8170da647829ffb162fb8c817c571cadf218eb4fdc702f23,19520000000000000,0.01952,ETH,ETH,2109.7541528236497,41.18240106,$41.18,2026-05-20,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD.
3,718,Base,8453,settlement,2026-05-19T14:54:47Z,0xf72b90f7c188775bce13f7b9c577d3d9aae5869e16f76e9d771ea65f62f5c0d4,5000000000000000,0.005,ETH,ETH,2128.0002275811294,10.64000114,$10.64,2026-05-18,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD. Used nearest prior price 1 day(s) before event.
3,717,Base,8453,settlement,2026-05-18T03:56:55Z,0x08d1de16badbcae190e13c02c64818c5ebbed8d8c0477f2e25884c2d5163c76e,16000000000000000,0.016,ETH,ETH,2128.0002275811294,34.04800364,$34.05,2026-05-18,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD.
3,716,Base,8453,settlement,2026-05-17T03:55:49Z,0x0f04f9cbb78bb9dc433c029ba06a701db3e63d7db661ef7f098743ff0cae59ad,18660000000000000,0.01866,ETH,ETH,2223.5999584060537,41.49237522,$41.49,2026-05-16,defillama_coin_prices,coins.llama.fi/chart/coingecko:ethereum,medium,priced,Use for ETH and WETH-denominated auction values. WETH is priced via ETH/USD. Used nearest prior price 1 day(s) before event.
