bid_time_utc,token_id,dog,bidder,bidder_url,bidder_wallet,bid,bid_eth,bid_usd,eth_usd_price_live,eth_usd_price_date_utc,usd_estimate_source,usd_estimate_source_detail,usd_estimate_confidence,usd_estimate_basis,extended,block_number,log_index,tx_hash
2026-06-18 21:40:21,747,Dog #747,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($17),0.01,17.03,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47514737,236,0x977c5d9eea323fb57a2ae934f18ed7351b44b1b3fe66dee3b6f9186e3854b089
2026-06-18 21:37:45,747,Dog #747,@farcy,https://farcaster.xyz/farcy,0x84cb3b93f9a918632f05528770b5cf926396b0f4,0.00331 ETH ($6),0.00331,5.64,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47514659,436,0x8d09a15c183a464affe273d91e544e8dd01063e99971ccdb71401751218ddca6
2026-06-18 21:33:55,747,Dog #747,@metasalary,https://farcaster.xyz/metasalary,0x833c829b5123c7af0b810a03084d5d3f0529d323,0.00300 ETH ($5),0.003,5.11,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47514544,156,0x0ff3c5335d601bf9bb2fd3991c49259af6a1cd2961e739b4dfec04d05da3f354
2026-06-18 19:58:43,747,Dog #747,@cryptomill,https://farcaster.xyz/cryptomill,0x71ce5605ab649d97446ef179bc2983b18ddc9a48,0.00113 ETH ($2),0.00113,1.92,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47511688,159,0x7db46edbeb6392d5819d65d00c25846a2d37bb38ea3a4d868b79e336df883d7f
2026-06-18 18:35:35,747,Dog #747,@metasalary,https://farcaster.xyz/metasalary,0x833c829b5123c7af0b810a03084d5d3f0529d323,0.00102 ETH ($2),0.00102,1.74,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47509194,504,0x97548689848d7e74c95d3dc887d9113bdc912883e76cdd4510747be7570b8878
2026-06-18 17:16:17,747,Dog #747,@cryptomill,https://farcaster.xyz/cryptomill,0x71ce5605ab649d97446ef179bc2983b18ddc9a48,0.00092 ETH ($2),0.00092,1.57,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47506815,58,0x1272a93ab1338bfc41e2127160e1e991422d994f8cb2f09cb592973e3f364dae
2026-06-18 12:35:27,747,Dog #747,@xbornid.eth,https://farcaster.xyz/xbornid.eth,0xbe061d84c50e156e2faa791228662e3b52c906e2,0.00083 ETH ($1),0.00083,1.41,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47498390,408,0xedc68a2d4750c8e1f973a0e90dbac61fcd7f698de4391987189500db4f063530
2026-06-18 09:24:45,747,Dog #747,@thec1,https://farcaster.xyz/thec1,0xd29c790466675153a50df7860b9efdb689a21cde,0.00075 ETH ($1),0.00075,1.28,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47492669,296,0xb84fd1235fdedbec5a168d8703725b4bb874d1fef77a4168f2a2abf737bc5286
2026-06-18 09:20:15,747,Dog #747,@cctv1,https://farcaster.xyz/cctv1,0xbdd8f7ceae7fbfb25bd5615ad3c2608404f6bb72,0.00068 ETH ($1),0.00068,1.16,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47492534,415,0x87a5d292f365f45ac52e5cc65255c83847c950ff3700e2c95bfdc3060c925ac5
2026-06-18 04:29:25,747,Dog #747,@i-am-rael.eth,https://farcaster.xyz/i-am-rael.eth,0x4119cfa20129f9ea739590ea914cdfbc0c0772cb,0.00061 ETH ($1),0.00061,1.04,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47483809,77,0x7719b0f3114a0e7d8b873fb7a32452b52f3208bbfad0cd7655aa16c5fe08b7a1
2026-06-18 03:36:37,747,Dog #747,@ch1ckenfoot,https://farcaster.xyz/ch1ckenfoot,0x99a3fbd828e04247b826b9b016cab27592190d33,0.00055 ETH ($1),0.00055,0.94,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47482225,184,0xa8b86a4f8830c87db055a484180b2cb3ab13b43f52dad6396209c29f2972c8b4
2026-06-18 00:57:27,747,Dog #747,@i-am-rael.eth,https://farcaster.xyz/i-am-rael.eth,0x4119cfa20129f9ea739590ea914cdfbc0c0772cb,0.00050 ETH ($1),0.0005,0.85,1702.56,2026-06-18,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47477450,142,0x4e3fa7dd2a4cfe5fb0cf1aa61f34f7699410616a1c5baf5842241e1e35eb85d6
