bid_time_utc,token_id,bidder,bidder_url,bidder_wallet,bid,bid_eth,bid_usd,extended,block_number,tx_hash
2026-06-03 20:39:35,733,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.02000 ETH ($35),0.02,35.41,0,46864914,0x281cfa2d61aee64eb4452b25f8ffc176e7518eb235a8272c9cbae5c9e1c443f2
2026-06-03 20:09:17,733,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00135 ETH ($2),0.00135,2.39,0,46864005,0xb551d5fed3d470c5faadc609c9c12f63b294434962fb4b8c026252a060dd7666
2026-06-03 20:00:45,733,@floam,https://farcaster.xyz/floam,0xdbb811ec62338db94858ec21ef1d56b658111922,0.00122 ETH ($2),0.00122,2.16,0,46863749,0x20b00f8743f387e3250add772a6bfbca799e2438bb73d905de4dea7d81856c18
2026-06-03 19:52:41,733,@oddlyaugmented.eth,https://farcaster.xyz/oddlyaugmented.eth,0x75a5e92a54336141f7a4d3e87eebf57e0cf4239d,0.00110 ETH ($2),0.0011,1.95,0,46863507,0x3ab0ee94ef66d9e6a2d36f0de48538d1e13f0b6a665735d37f7d91c2d7a53a8f
2026-06-03 19:49:27,733,@thec1,https://farcaster.xyz/thec1,0xd29c790466675153a50df7860b9efdb689a21cde,0.00100 ETH ($2),0.001,1.77,0,46863410,0x61ce1af37a58feab4cf088894e2a01812902ee8f634bad25d884b14dbcc6aa80
2026-06-03 19:35:43,732,@floam,https://farcaster.xyz/floam,0xdbb811ec62338db94858ec21ef1d56b658111922,0.05324 ETH ($94),0.05324,94.25,1,46862998,0x2197f912989dfe6ba63a74d73e12e83040e5bac67215980bc7050410fef54e7d
2026-06-03 19:26:11,732,@pare,https://farcaster.xyz/pare,0xd1ab146981d50adcfe18433500e852af396ea7b1,0.04840 ETH ($86),0.0484,85.68,0,46862712,0xe1944f5dc9024b4f62814a74d2e2702fb817800fdac841afc8701bd3d754e21a
2026-06-03 19:23:15,732,@thec1,https://farcaster.xyz/thec1,0xd29c790466675153a50df7860b9efdb689a21cde,0.04400 ETH ($78),0.044,77.89,0,46862624,0xfb5c8038a7632aabac3b02896ac6947903410903c409ac61d500269fe8e3a3a0
2026-06-03 17:50:39,732,@pare,https://farcaster.xyz/pare,0xd1ab146981d50adcfe18433500e852af396ea7b1,0.04000 ETH ($71),0.04,70.81,0,46859846,0x48754454893d88b7c58f9d1883673db6c08fb8bbd7d74dee717ea0dcec76bbcf
2026-06-03 17:18:59,732,@floam,https://farcaster.xyz/floam,0xdbb811ec62338db94858ec21ef1d56b658111922,0.03300 ETH ($58),0.033,58.42,0,46858896,0x713daa3848a3d30b20f3d909880e894872501bf6ed6b97ba04cc222eac24036e
2026-06-03 12:50:11,732,@pare,https://farcaster.xyz/pare,0xd1ab146981d50adcfe18433500e852af396ea7b1,0.03000 ETH ($53),0.03,53.11,0,46850832,0x82e41000fde1ac4387bfe5688ea7a6589e6e4007d4ac5c6e7965d407d06fff04
2026-06-03 02:05:09,732,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01690 ETH ($30),0.0169,29.92,0,46831481,0x0e96ca133c9f1f88063c7d859335b943be693d071aaececf6616249dc885f654
2026-06-02 19:54:37,732,@thec1,https://farcaster.xyz/thec1,0xd29c790466675153a50df7860b9efdb689a21cde,0.01000 ETH ($18),0.01,17.7,0,46820365,0xead99c6556939033a853a22913cbe529fa2fde90a992d569075898f96b97b0f5
2026-06-02 19:53:21,732,@aniu,https://farcaster.xyz/aniu,0x279f6980c409724d702db3edfacc3fc921039680,0.00110 ETH ($2),0.0011,1.95,0,46820327,0xe562291e2a691ef0afa89ca0d9903149dfb59896c5df7f63aac9595e600334eb
2026-06-02 19:40:05,732,@oddlyaugmented.eth,https://farcaster.xyz/oddlyaugmented.eth,0x75a5e92a54336141f7a4d3e87eebf57e0cf4239d,0.00100 ETH ($2),0.001,1.77,0,46819929,0x0ee0cd8998099b3bf31887472da5022082931f70b00b666f3beb107f1f27878f
2026-06-02 19:29:19,731,@shalexvivek,https://farcaster.xyz/shalexvivek,0x412b7153504217b405af821bdcdc5f21c71e3cbc,0.04311 ETH ($76),0.04311,76.32,1,46819606,0x7a59b49727c2451fbae2550f2904ed55a9d8c935c9eabf7e043048e8adddd00d
2026-06-02 19:28:01,731,@thec1,https://farcaster.xyz/thec1,0xd29c790466675153a50df7860b9efdb689a21cde,0.03919 ETH ($69),0.03919,69.38,1,46819567,0x2ff84565e9084797035c3713eaac5c9e196d4815536d47fe1abccfb794a5ee35
2026-06-02 19:27:11,731,@pare,https://farcaster.xyz/pare,0xd1ab146981d50adcfe18433500e852af396ea7b1,0.03562 ETH ($63),0.03562,63.06,1,46819542,0x86abe0666227c98feff030de73cbf4ca6ed4590bc8d18ea3a03a3a828f27ed40
2026-06-02 19:25:31,731,@thec1,https://farcaster.xyz/thec1,0xd29c790466675153a50df7860b9efdb689a21cde,0.03238 ETH ($57),0.03238,57.32,1,46819492,0x6ada4861cadb491f29a57ef550bb4f7889eeb54a2689fdffbf1be7d797b38da9
2026-06-02 19:24:25,731,@shalexvivek,https://farcaster.xyz/shalexvivek,0x412b7153504217b405af821bdcdc5f21c71e3cbc,0.02943 ETH ($52),0.02943,52.1,1,46819459,0x6fed2ead69c563e37f1ba8021ec65fb480870c70a283620464a8a3aad5ec00a8
2026-06-02 19:23:01,731,@stemo.eth,https://farcaster.xyz/stemo.eth,0x46e9beef5dc68dff095eca56dadf90247f1af7ef,0.02675 ETH ($47),0.02675,47.35,1,46819417,0x32fe85a825f385aa05c326d2caed179963b05a87c29a7069aa1ddef257e99d0e
2026-06-02 19:20:59,731,@shalexvivek,https://farcaster.xyz/shalexvivek,0x412b7153504217b405af821bdcdc5f21c71e3cbc,0.02420 ETH ($43),0.0242,42.84,1,46819356,0x738a87af6d906d0f23711257f5a04c044fa7e1e8d279a75d91773203a44a7706
2026-06-02 19:18:05,731,@pare,https://farcaster.xyz/pare,0xd1ab146981d50adcfe18433500e852af396ea7b1,0.02200 ETH ($39),0.022,38.95,0,46819269,0x04fba4f9a56ec08d0570dfa4869a0a64cf636b31909e075c2065f70f83f64f67
2026-06-02 19:09:57,731,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01859 ETH ($33),0.01859,32.91,0,46819025,0x0c56ce9d77c5f8c3ec0111853496bbbfcf3a741a777425fac23ce431dc99eab8
2026-06-02 18:29:05,731,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01690 ETH ($30),0.0169,29.92,0,46817799,0xce270710ec8811ca6ee3c7a7f6bbf664df1103a8254010b595f9fb71f4ce1cef
2026-06-02 16:57:17,731,@kenshiking.eth,https://farcaster.xyz/kenshiking.eth,0x23d660548cd61432537592dcea15b059605c9242,0.01465 ETH ($26),0.01465,25.93,0,46815045,0x317acce691ed84f9898c07c3a1ffa75233fec56edf53fe964e8e6cb89485e2af
2026-06-02 15:58:05,731,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01331 ETH ($24),0.01331,23.56,0,46813269,0x42ea82fd4e0c013291a3278213d1dc48dbcc97b5b1a0f0077ea93218d93fd952
2026-06-02 14:46:49,731,@markcarey,https://farcaster.xyz/markcarey,0x0c65be17e86bcb6019148be0a4e8f0a4510a70cb,0.01210 ETH ($21),0.0121,21.42,0,46811131,0xafe1bb2ee603af19eadc9fe30f454afd2a8b2846bc301a549de3b6e5087d9722
2026-06-02 13:09:09,731,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01100 ETH ($19),0.011,19.47,0,46808201,0xc88ff0bd527b9fd715c38f7efc6b62e61f5a55ce1a90c3dd460c600aa4d548ba
2026-06-01 19:57:41,731,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($18),0.01,17.7,0,46777257,0x7f1e07d97212d5a7fd7db307efd7dfbd8cc8de7f59fa076fe45e12310ac86608
2026-06-01 19:25:11,731,@sharas.eth,https://farcaster.xyz/sharas.eth,0xd722d7cef1870733a85e779ab3d306ba286c0af0,0.00100 ETH ($2),0.001,1.77,0,46776282,0x2a74ad17c4250361d4ff436ccac714293e1daa0e44945c2dbb15ab443bf04f6c
2026-06-01 19:11:05,730,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01100 ETH ($19),0.011,19.47,1,46775859,0xfb210ca207028cfc79809d17cb1fd7611f8fee391454ba9b04cd10622da38001
2026-05-31 19:13:33,730,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($18),0.01,17.7,0,46732733,0x92cb76ad620ab09516ce05d9b994e8ba3fcb069cf5cdcdfd03ea2bfd9e46f3ad
2026-05-30 18:40:23,729,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($18),0.01,17.7,0,46688538,0xf4581de13cd2b7fbf9b547da77eff78801a0be299e7055c076f6128424dcab74
2026-05-30 18:33:17,728,@vaibhavmule,https://farcaster.xyz/vaibhavmule,0xffe16898fc0af80ee9bcf29d2b54a0f20f9498ad,0.01210 ETH ($21),0.0121,21.42,0,46688325,0x62012d2a57a5be2be2f8aad6aaece699c6e75f54ba2bf261d512796bcd4ac4bb
2026-05-30 06:09:29,728,@0xleonardo,https://farcaster.xyz/0xleonardo,0x502ce9fb1814cb03843967ec5e0d8f6aa3a3c2e1,0.01100 ETH ($19),0.011,19.47,0,46666011,0xf9190cd2892acdcce50fc181b743bc841f46afdf41ea2dc347d65b1613066847
2026-05-29 18:50:47,728,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($18),0.01,17.7,0,46645650,0xe946a06a72d4bbd92e8967119b0fc3a015cd7b942207b5f765be2d3df1cdb651
