winner,winner_url,winner_wallet,auction_wins,auction_xp,sup_reward,token_ids
@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,8,800,117913.04348,"730,719,713,701,681,677,672,671"
0x76d0…8942,https://basescan.org/address/0x76d0e7a13248945ee9f808b4a472262b28778942,0x76d0e7a13248945ee9f808b4a472262b28778942,5,500,73695.652175,"729,724,694,684,670"
0xca0e…3202,https://basescan.org/address/0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,4,400,58956.52174,"725,708,705,689"
0xd1ab…a7b1,https://basescan.org/address/0xd1ab146981d50adcfe18433500e852af396ea7b1,0xd1ab146981d50adcfe18433500e852af396ea7b1,4,400,58956.52174,"682,676,673,668"
0x3516…e347,https://basescan.org/address/0x3516006709b775e01b48dfb5fad355a4e793e347,0x3516006709b775e01b48dfb5fad355a4e793e347,3,300,44217.391305,"721,717,714"
0x4119…72cb,https://basescan.org/address/0x4119cfa20129f9ea739590ea914cdfbc0c0772cb,0x4119cfa20129f9ea739590ea914cdfbc0c0772cb,3,300,44217.391305,"726,722,718"
0x398a…1130,https://basescan.org/address/0x398acdc97722f3f0415861359e74bdcd10e41130,0x398acdc97722f3f0415861359e74bdcd10e41130,2,200,29478.26087,"697,686"
0x46e9…f7ef,https://basescan.org/address/0x46e9beef5dc68dff095eca56dadf90247f1af7ef,0x46e9beef5dc68dff095eca56dadf90247f1af7ef,2,200,29478.26087,"700,680"
0x50ea…4d4b,https://basescan.org/address/0x50eac8369154231a7ca59a73ccaf1131e7904d4b,0x50eac8369154231a7ca59a73ccaf1131e7904d4b,2,200,29478.26087,"698,675"
0x71ce…9a48,https://basescan.org/address/0x71ce5605ab649d97446ef179bc2983b18ddc9a48,0x71ce5605ab649d97446ef179bc2983b18ddc9a48,2,200,29478.26087,"716,665"
0x84cb…b0f4,https://basescan.org/address/0x84cb3b93f9a918632f05528770b5cf926396b0f4,0x84cb3b93f9a918632f05528770b5cf926396b0f4,2,200,29478.26087,"715,674"
0x86e3…a6cd,https://basescan.org/address/0x86e36c9ba3c6a2542fd761bc2b4fd61a110ea6cd,0x86e36c9ba3c6a2542fd761bc2b4fd61a110ea6cd,2,200,29478.26087,"685,666"
0x8e5c…82af,https://basescan.org/address/0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,2,200,29478.26087,"702,683"
0xc421…19d9,https://basescan.org/address/0xc421401af43d217d8bf16f18ffd076f3c84219d9,0xc421401af43d217d8bf16f18ffd076f3c84219d9,2,200,29478.26087,"695,687"
0xd722…0af0,https://basescan.org/address/0xd722d7cef1870733a85e779ab3d306ba286c0af0,0xd722d7cef1870733a85e779ab3d306ba286c0af0,2,200,29478.26087,"723,696"
0xf4e1…3b54,https://basescan.org/address/0xf4e1b8577a9b1eafa6058c873531441697393b54,0xf4e1b8577a9b1eafa6058c873531441697393b54,2,200,29478.26087,"693,688"
0xfe11…b5ae,https://basescan.org/address/0xfe1180d8515c8700b933ee9a4ba6a98bc1a9b5ae,0xfe1180d8515c8700b933ee9a4ba6a98bc1a9b5ae,2,200,29478.26087,"704,679"
0xffa7…64db,https://basescan.org/address/0xffa73032fc023cbc21334d15d19854294f8e64db,0xffa73032fc023cbc21334d15d19854294f8e64db,2,200,29478.26087,"692,690"
0xffe1…98ad,https://basescan.org/address/0xffe16898fc0af80ee9bcf29d2b54a0f20f9498ad,0xffe16898fc0af80ee9bcf29d2b54a0f20f9498ad,2,200,29478.26087,"728,709"
0x1fb1…11f0,https://basescan.org/address/0x1fb17e93ca83a21c517841f8a6fda27fa8eb11f0,0x1fb17e93ca83a21c517841f8a6fda27fa8eb11f0,1,100,14739.130435,710
0x23d6…9242,https://basescan.org/address/0x23d660548cd61432537592dcea15b059605c9242,0x23d660548cd61432537592dcea15b059605c9242,1,100,14739.130435,691
0x2df0…f457,https://basescan.org/address/0x2df06405772f9fe85e1771ff11baaa5d3933f457,0x2df06405772f9fe85e1771ff11baaa5d3933f457,1,100,14739.130435,667
0x412b…3cbc,https://basescan.org/address/0x412b7153504217b405af821bdcdc5f21c71e3cbc,0x412b7153504217b405af821bdcdc5f21c71e3cbc,1,100,14739.130435,706
0x43f8…6a33,https://basescan.org/address/0x43f8c3e0c0ab23f0a8660f3ea3ce1a7016f96a33,0x43f8c3e0c0ab23f0a8660f3ea3ce1a7016f96a33,1,100,14739.130435,703
0x60fb…f205,https://basescan.org/address/0x60fb37f0b204ef8df48793cbb5991a2422c9f205,0x60fb37f0b204ef8df48793cbb5991a2422c9f205,1,100,14739.130435,712
0x67c9…372f,https://basescan.org/address/0x67c91318b9c38dbeb200e1539b64e5bbc930372f,0x67c91318b9c38dbeb200e1539b64e5bbc930372f,1,100,14739.130435,669
0x7732…5953,https://basescan.org/address/0x7732f594c38d4940e1076aa9f6f53065b7915953,0x7732f594c38d4940e1076aa9f6f53065b7915953,1,100,14739.130435,720
0x833c…d323,https://basescan.org/address/0x833c829b5123c7af0b810a03084d5d3f0529d323,0x833c829b5123c7af0b810a03084d5d3f0529d323,1,100,14739.130435,678
0x8a17…0687,https://basescan.org/address/0x8a1721bf6127b16836c2bcd33c612765ff9f0687,0x8a1721bf6127b16836c2bcd33c612765ff9f0687,1,100,14739.130435,664
0xd29c…1cde,https://basescan.org/address/0xd29c790466675153a50df7860b9efdb689a21cde,0xd29c790466675153a50df7860b9efdb689a21cde,1,100,14739.130435,699
0xdbb8…1922,https://basescan.org/address/0xdbb811ec62338db94858ec21ef1d56b658111922,0xdbb811ec62338db94858ec21ef1d56b658111922,1,100,14739.130435,727
0xea89…893f,https://basescan.org/address/0xea89fa73f8e6283c37a72267290bc7829464893f,0xea89fa73f8e6283c37a72267290bc7829464893f,1,100,14739.130435,711
0xee2b…8852,https://basescan.org/address/0xee2bb96a633e50de9cbc8b4229b07cef9a008852,0xee2bb96a633e50de9cbc8b4229b07cef9a008852,1,100,14739.130435,707
