metric,value
network,base
site_url,https://ael-dev3.github.io/Degen-Dogs-Mission-3/
latest_block,50942343
latest_block_time_utc,2026-09-06 05:53:53
onchain_verification_status,current_snapshot_cross_provider_verified
onchain_verification_scope,"snapshot_hash,contract_code,current_auction,dog_total_supply,recent_event_logs,event_block_timestamps,dog_token_uri_bindings,woof_token_state,sup_token_state"
onchain_chain_id,8453
snapshot_block_hash,0x5dccc3963b8af458d05591b81dd6c29beed14d1a5f8a0abc68cab8567a0cb9ed
canonical_reorg_from_hash,
snapshot_confirmations,1
rpc_quorum_size,2
rpc_quorum_agreement,5/5
rpc_quorum_providers,"alchemy,base.org,publicnode.com,rpc-host-a0d298ecc6bb,rpc-host-e5083daccc13"
log_rpc_quorum_providers,"alchemy,rpc-host-a0d298ecc6bb,rpc-host-e5083daccc13"
auction_house_code_sha256,ade197f5a438f532d3502f579a7f53b141e596c4f6b2c52898f6aa0de0cad253
dog_nft_code_sha256,224272d1e3ec04b7524dfc5e16419675d26b776497f5318da61df821250c5f20
auction_house,0x8F34fe11ce28893DEA6A802c8d0b3d0FFC7f5CeA
dog_nft,0x09154248fFDbaF8aA877aE8A4bf8cE1503596428
dog_total_supply,826
dog_id_ceiling,826
dog_token_uri_verification_status,baseline_hash_pinned_quorum_plus_cross_provider_rarity_event_continuity
dog_base_existence_verification_status,baseline_exists_token_uri_quorum_plus_cross_provider_rarity_event_continuity
dog_token_uri_present_count,701
dog_token_uri_unavailable_count,125
dog_base_existing_count,701
dog_base_unclaimed_count,125
dog_base_existing_token_ids_sha256,783dd247b8bee1875df4f5adf55028d6ba46976ce09fe9a5b9bd4f221a3d29e0
dog_base_unclaimed_token_ids_sha256,9359fd4f4e7acae95b58b46601d570c1c037b7bde58e5d0bf324b3832b48010b
dog_metadata_verification_status,partial_onchain_token_uri_unavailable
dog_metadata_onchain_verified_count,701
dog_metadata_unavailable_count,125
dog_metadata_content_verification_status,verified_token_uri_offchain_content_hash_observed
dog_metadata_content_observed_count,701
dog_rarity_verification_status,complete_verified_existing_token_universe
dog_rarity_universe_count,701
dog_rarity_excluded_nonexistent_count,125
dog_rarity_incomplete_metadata_count,0
dog_rarity_scope,base_existing
dog_rarity_score_method,sum_existing_token_count_divided_by_trait_frequency_v1
dog_rarity_tie_policy,competition_rank_equal_scores_share_rank
dog_rarity_trait_schema,Background|Body|Neck|Mouth|Ears|Head|Eyes
dog_rarity_attested_block,50935330
dog_rarity_attested_block_hash,0xd6b5502e86ddc3d38158696d01abbb50bb9265ddddde1a57228604c9016349be
dog_rarity_continuity_through_block,50942343
dog_rarity_continuity_through_block_hash,0x5dccc3963b8af458d05591b81dd6c29beed14d1a5f8a0abc68cab8567a0cb9ed
dog_rarity_continuity_verification_status,hash_pinned_cross_provider_canonical_mint_extension_plus_no_other_rarity_mutations
woof_token,0x3e5c4FA0cAA794516eD0DF77f31daA534918d492
woof_symbol,WOOF
woof_total_supply,100000000000
woof_holder_verification_status,unavailable_fail_closed
woof_holder_discovery_source,base_blockscout_candidates_onchain_authority
woof_holder_candidate_count,312
woof_holder_balance_sum_raw,unavailable
woof_holder_expected_supply_raw,100000000000000000000000000000
woof_usd_price,0.0000005386
woof_usd_source,dexscreener:aerodrome:0x1C453d1909a0AAe2011822dE50b40780a0c26637
sup_token,0xa69f80524381275A7fFdb3AE01c54150644c8792
sup_symbol,SUP
sup_usd_price,0.00559
sup_usd_source,dexscreener:uniswap:0xc4838FbEef72Ba0719A4C4F1eFEec68991b74A20
eth_usd_price,2514.885
eth_usd_source,coinbase
reward_basis_dogs,133
reward_basis_source,observed_stream_snapshot_133_dogs
reward_snapshot_utc,2026-06-02T20:55:15Z
reward_excludes,woof_vault_bonus
reward_observed_dogs_count,133
reward_observed_woof_received,N/A
reward_observed_woof_flow_per_day,20494201.3
reward_observed_woof_per_dog_per_day,154091.739097744361
reward_observed_sup_received,N/A
reward_observed_sup_flow_per_day,199.58
reward_observed_sup_per_dog_per_day,1.5006015037593985
reward_basis_note,Observed 133-Dog reward stream snapshot supplied for dashboard reward/payback/APR estimates. WOOF Vault Bonus is intentionally excluded. Update this file when the observed reward stream changes.
reward_woof_received,N/A
reward_woof_received_usd,N/A
reward_woof_flow_per_day,20494201.3
reward_woof_flow_usd_per_day,11.04
reward_woof_per_dog_per_day,154091.739097744361
reward_woof_per_dog_usd_per_day,0.082994
reward_sup_received,N/A
reward_sup_received_usd,N/A
reward_sup_flow_per_day,199.58
reward_sup_flow_usd_per_day,1.12
reward_sup_per_dog_per_day,1.5006015037593985
reward_sup_per_dog_usd_per_day,0.008388
reward_total_flow_usd_per_day,12.15
reward_total_per_dog_usd_per_day,0.091382
reward_current_bid_payback_days,N/A
reward_current_bid_daily_roi_pct,N/A
reward_current_bid_apr_pct,N/A
reward_current_bid_apr_display,N/A
woof_holders,unavailable
top_woof_holder,
top_woof_holder_balance,unavailable
farcaster_profiles_resolved,64
current_auction_token_id,825
current_auction_status,live
current_bid_eth,0.0
current_bid_usd,0.0
current_bidder,no bids yet
current_bidder_wallet,0x0000000000000000000000000000000000000000
current_auction_end_utc,2026-09-07 05:53:25
created_auctions,236
settled_auctions,235
total_bid_eth,38.50226300
total_settled_eth,8.02304000
highest_bid_eth,0.30210000
season5_reward_total_sup,1017000
season5_rewards_allocated_sup,987521.739145
season6_current_bidder_cap_remaining_sup,N/A
season6_current_bidder_prior_wins,0
season6_current_bidder_projected_capped_sup_if_wins,N/A
season6_current_bidder_projected_capped_usd_if_wins,N/A
season6_current_bidder_projected_raw_sup_if_wins,N/A
season6_current_bidder_projected_raw_usd_if_wins,N/A
season6_sup_campaign_end_utc,2026-09-01T00:00:00Z
season6_sup_cap_overflow_policy,no_redistribution_assumed
season6_sup_cap_per_wallet,12500
season6_sup_cap_percent_label,5% cap
season6_sup_capped_projected_full_allocated,204086.452552
season6_sup_confirmed_wallets,32
season6_sup_confirmed_wins,89
season6_sup_current_bid_cap_remaining_before_win_sup,12500
season6_sup_current_bid_estimate_status,no_current_bid
season6_sup_current_bid_estimated_cap_aware_sup,0
season6_sup_current_bid_estimated_cap_aware_usd,N/A
season6_sup_current_bid_estimated_raw_incremental_sup,0
