bid_time_utc,token_id,bidder,bidder_url,bidder_wallet,bid,bid_eth,bid_usd,extended,block_number,tx_hash
2026-05-23 19:58:53,723,@floam,https://farcaster.xyz/floam,0xdbb811ec62338db94858ec21ef1d56b658111922,0.01100 ETH ($23),0.011,23.22,0,46388493,0x1a97c17f74466734ee3ae739853e264b4bbc5c6ee2e539a8ba3ce0610a97d538
2026-05-23 19:50:23,723,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($21),0.01,21.11,0,46388238,0xb0681f67df98e54a9032c2351b90e3581f849d1a136bf9302263d4c4516c69c6
2026-05-23 19:11:27,723,@floam,https://farcaster.xyz/floam,0xdbb811ec62338db94858ec21ef1d56b658111922,0.00132 ETH ($3),0.00132,2.79,0,46387070,0x9b10da1001b73626f007ae8605dc022294e338b171c9a5d297b6906a5be6b964
2026-05-23 15:57:29,723,0x4119…72cb,,0x4119cfa20129f9ea739590ea914cdfbc0c0772cb,0.00120 ETH ($3),0.0012,2.53,0,46381251,0xdd5ba62e5b0bc9c35459cd3de216133c296c91523f268a4801bbb20275daaeb1
2026-05-23 15:22:25,723,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00099 ETH ($2),0.00099,2.09,0,46380199,0x60868ba2dc623decf992eceaf0e9f6462179ded1c7460b322259bbfb78b3f6d6
2026-05-23 15:17:27,723,0x4119…72cb,,0x4119cfa20129f9ea739590ea914cdfbc0c0772cb,0.00090 ETH ($2),0.0009,1.9,0,46380050,0x4c804c5f6f5f6135bf7022906547fa4355ae3e22940011ff50ae129cd9159e31
2026-05-23 14:59:05,722,0x4119…72cb,,0x4119cfa20129f9ea739590ea914cdfbc0c0772cb,0.01465 ETH ($31),0.01465,30.93,1,46379499,0x17ad37f297a890a03ca5ab377322e2d1f6d04fd8a109d6b9e6ade6638537dd75
2026-05-23 14:54:11,722,@bitcoinvestor,https://farcaster.xyz/bitcoinvestor,0x7732f594c38d4940e1076aa9f6f53065b7915953,0.01331 ETH ($28),0.01331,28.1,1,46379352,0x867d7a9fc0f953b4a2c703dec93552404145d648b6104f3b64edc77b3c4e1a57
2026-05-22 18:38:39,722,@skunkape,https://farcaster.xyz/skunkape,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,0.01210 ETH ($26),0.0121,25.54,0,46342886,0xd9a373c269e56ebde40e1d1db65211e99f40565654a3018ed3439f564e1c6d34
2026-05-22 15:09:49,722,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01100 ETH ($23),0.011,23.22,0,46336621,0x65619204c6b07bfb4bc1d0f4ed98e16bdba7c2777ab4d57d926264a5217b1d2c
